station_id;hardware;board_id
0000E751;TAPMV4.0;77SL4800523
0000E627;TAPMV4.0;77SL4800533
0000E759;TAPMV4.0;77SL4800527
0000E69F;TAPMV4.0;77SL4800465
0000E6EC;TAPMV4.0;77SL4800433
0000E675;TAPMV4.0;77SL4800363
0000E659;TAPMV4.0;77SL4800298
0000E75C;TAPMV4.0;77SL4800223
0000E75B;TAPMV4.0;77SL4800222
0000E68E;TAPMV4.0;77SL4800442
0000E64A;TAPMV4.0;77SL4800549
0000E697;TAPMV4.0;77SL4800478
0000E66D;TAPMV4.0;77SL4800375
0000E63A;TAPMV4.0;77SL4800491
0000E773;TAPMV4.0;77SL4800247
0000E69E;TAPMV4.0;77SL4800466
0000E72E;TAPMV4.0;77SL4800508
0000E72D;TAPMV4.0;77SL4800503
0000E757;TAPMV4.0;77SL4800529
0000E683;TAPMV4.0;77SL4800551
0000E640;TAPMV4.0;77SL4800497
0000E694;TAPMV4.0;77SL4800470
0000E720;TAPMV4.0;77SL4800307
0000E6FD;TAPMV4.0;77SL4800417
0000E68D;TAPMV4.0;77SL4800437
0000E642;TAPMV4.0;77SL4800539
0000E699;TAPMV4.0;77SL4800477
0000E67C;TAPMV4.0;77SL4800548
0000E71A;TAPMV4.0;77SL4800516
0000E64F;TAPMV4.0;77SL4800288
0000E747;TAPMV4.0;77SL4800333
0000E668;TAPMV4.0;77SL4800372
0000E666;TAPMV4.0;77SL4800450
0000E727;TAPMV4.0;77SL4800304
0000E639;TAPMV4.0;77SL4800492
0000E716;TAPMV4.0;77SL4800514
0000E685;TAPMV4.0;77SL4800553
0000E67A;TAPMV4.0;77SL4800370
0000E570;TAPMV4.0;77SL4800911
0000E6CB;TAPMV4.0;77SL4800271
0000E6AE;TAPMV4.0;77SL4800567
0000E5B6;TAPMV4.0;77SL4800767
0000E74A;TAPMV4.0;77SL4800336
0000E73C;TAPMV4.0;77SL4800344
0000E6C8;TAPMV4.0;77SL4800456
0000E6D2;TAPMV4.0;77SL4800277
0000E6D1;TAPMV4.0;77SL4800278
0000E603;TAPMV4.0;77SL4800946
0000E695;TAPMV4.0;77SL4800473
0000E6D0;TAPMV4.0;77SL4800275
0000E5FB;TAPMV4.0;77SL4800597
0000E6C9;TAPMV4.0;77SL4800455
0000E6CD;TAPMV4.0;77SL4800273
0000E5AE;TAPMV4.0;77SL4800764
0000E592;TAPMV4.0;77SL4800817
0000E674;TAPMV4.0;77SL4800364
0000E5DA;TAPMV4.0;77SL4800667
0000E597;TAPMV4.0;77SL4800812
0000E701;TAPMV4.0;77SL4800351
0000E568;TAPMV4.0;77SL4800930
0000E5B3;TAPMV4.0;77SL4800762
0000E605;TAPMV4.0;77SL4800952
0000E60A;TAPMV4.0;77SL4800935
0000E67E;TAPMV4.0;77SL4800557
0000E6F2;TAPMV4.0;77SL4800329
0000E5E0;TAPMV4.0;77SL4800832
0000E6CE;TAPMV4.0;77SL4800233
0000E76F;TAPMV4.0;77SL4800243
0000E635;TAPMV4.0;77SL4800261
0000E630;TAPMV4.0;77SL4800266
0000E760;TAPMV4.0;77SL4800230
0000E5ED;TAPMV4.0;77SL4800739
0000E563;TAPMV4.0;77SL4800631
0000E529;TAPMV4.0;77SL4800866
0000E5B2;TAPMV4.0;77SL4800763
0000E5F2;TAPMV4.0;77SL4800582
0000E738;TAPMV4.0;77SL4800388
0000E72B;TAPMV4.0;77SL4800505
0000E722;TAPMV4.0;77SL4800311
0000E5E9;TAPMV4.0;77SL4800822
0000E5E6;TAPMV4.0;77SL4800825
0000E736;TAPMV4.0;77SL4800384
0000E73B;TAPMV4.0;77SL4800391
0000E619;TAPMV4.0;77SL4800600
0000E5F4;TAPMV4.0;77SL4800584
0000E61A;TAPMV4.0;77SL4800954
0000E591;TAPMV4.0;77SL4800818
0000E60B;TAPMV4.0;77SL4800939
0000E604;TAPMV4.0;77SL4800950
0000E6E2;TAPMV4.0;77SL4800322
0000E6E1;TAPMV4.0;77SL4800321
0000E6F4;TAPMV4.0;77SL4800326
0000E6DF;TAPMV4.0;77SL4800318
0000E6D7;TAPMV4.0;77SL4800284
0000E59C;TAPMV4.0;77SL4800688
0000E5BA;TAPMV4.0;77SL4800721
0000E594;TAPMV4.0;77SL4800815
0000E600;TAPMV4.0;77SL4800951
0000E60C;TAPMV4.0;77SL4800938
0000E60F;TAPMV4.0;77SL4800943
0000E739;TAPMV4.0;77SL4800387
0000C04C;TAPMV4.0;77SL4800205
0000C031;TAPMV4.0;77SL4800214
0000C053;TAPMV4.0;77SL4800006
