verification_id;run_id;type;name;stop_if_fail;max_retries
2894;724;TX;LO_leakage;t;0
2895;724;TX;power_level;t;0
2896;724;TX;IQ_imbalance;f;0
2897;725;RX;IQ_imbalance;f;3
2898;725;TX;LO_leakage;t;0
2899;725;TX;power_level;t;0
2900;725;TX;IQ_imbalance;f;0
2901;726;RX;IQ_imbalance;f;3
2902;726;TX;LO_leakage;t;0
2903;726;TX;power_level;t;0
2904;726;TX;IQ_imbalance;f;0
2905;727;RX;IQ_imbalance;f;3
2906;727;TX;LO_leakage;t;0
2907;727;TX;power_level;t;0
2908;727;TX;IQ_imbalance;f;0
2909;728;RX;IQ_imbalance;f;3
2910;728;TX;LO_leakage;t;0
2911;728;TX;power_level;t;0
2912;728;TX;IQ_imbalance;f;0
2913;729;RX;IQ_imbalance;f;3
2914;729;TX;LO_leakage;t;0
2915;729;TX;power_level;t;0
2916;729;TX;IQ_imbalance;f;0
2917;730;RX;IQ_imbalance;f;3
2918;730;TX;LO_leakage;t;0
2919;730;TX;power_level;t;0
2920;730;TX;IQ_imbalance;f;0
2921;731;RX;IQ_imbalance;f;3
2922;731;TX;LO_leakage;t;0
2923;731;TX;power_level;t;0
2924;731;TX;IQ_imbalance;f;0
2925;732;RX;IQ_imbalance;f;3
2926;732;TX;LO_leakage;t;0
2927;732;TX;power_level;t;0
2928;732;TX;IQ_imbalance;f;0
2929;733;RX;IQ_imbalance;f;3
2930;733;TX;LO_leakage;t;0
2931;733;TX;power_level;t;0
2932;733;TX;IQ_imbalance;f;0
2933;734;RX;IQ_imbalance;f;3
2934;734;TX;LO_leakage;t;0
2935;734;TX;power_level;t;0
2936;734;TX;IQ_imbalance;f;0
2937;735;RX;IQ_imbalance;f;3
2938;735;TX;LO_leakage;t;0
2939;735;TX;power_level;t;0
2940;735;TX;IQ_imbalance;f;0
2941;736;RX;IQ_imbalance;f;3
2942;736;TX;LO_leakage;t;0
2943;736;TX;power_level;t;0
2944;736;TX;IQ_imbalance;f;0
2945;737;RX;IQ_imbalance;f;3
2946;737;TX;LO_leakage;t;0
2947;737;TX;power_level;t;0
2948;737;TX;IQ_imbalance;f;0
2949;738;RX;IQ_imbalance;f;3
2950;738;TX;LO_leakage;t;0
2951;738;TX;power_level;t;0
2952;738;TX;IQ_imbalance;f;0
2953;739;RX;IQ_imbalance;f;3
2954;739;TX;LO_leakage;t;0
2955;739;TX;power_level;t;0
2956;739;TX;IQ_imbalance;f;0
2957;740;RX;IQ_imbalance;f;3
2958;740;TX;LO_leakage;t;0
2959;740;TX;power_level;t;0
2960;740;TX;IQ_imbalance;f;0
2961;741;RX;IQ_imbalance;f;3
2962;741;TX;LO_leakage;t;0
2963;741;TX;power_level;t;0
2964;741;TX;IQ_imbalance;f;0
2965;742;RX;IQ_imbalance;f;3
2966;742;TX;LO_leakage;t;0
2967;742;TX;power_level;t;0
2968;742;TX;IQ_imbalance;f;0
2969;743;RX;IQ_imbalance;f;3
